Dates,ACTUAL (mm) 
Jun-2015,116.4
Jul-2015,9.4
Aug-2015,53.2
Sep-2015,23
Oct-2015,89.8
Nov-2015,590.8
Dec-2015,438.2
Jan-2016,0
Feb-2016,0
Mar-2016,0
Apr-2016,0
May-2016,200.4
Jun-2016,48.4
Jul-2016,48.8
Aug-2016,96.4
Sep-2016,60.6
Oct-2016,126.8
Nov-2016,138.8
Dec-2016,86.8
Jan-2017,112.6
Feb-2017,0
Mar-2017,128.2
Apr-2017,0
May-2017,0
Jun-2017,91
Jul-2017,84
Aug-2017,108.2
Sep-2017,149.8
Oct-2017,247.6
Nov-2017,642.6
Dec-2017,212
Jan-2018,100.6
Feb-2018,2.4
Mar-2018,4.8
Apr-2018,5.4
May-2018,3
Jun-2018,76.6
Jul-2018,0
Aug-2018,52
Sep-2018,82.4
Oct-2018,254.5
Nov-2018,562.1
Dec-2018,72.6
Jan-2019,0
Feb-2019,2.8
Mar-2019,0
Apr-2019,10.2
May-2019,0
Jun-2019,0
Jul-2019,33.4
Aug-2019,127.2
Sep-2019,336
Oct-2019,370
Nov-2019,350.4
Dec-2019,392.4
Jan-2020,21.4
Feb-2020,2.8
Mar-2020,0
May-2020,0
Jun-2020,0
Jul-2020,196.2
Aug-2020,135.8
Sep-2020,111.6
Oct-2020,38.4
Nov-2020,277.6
Dec-2020,634.6
Jan-2021,223
Feb-2021,0
Mar-2021,0
Apr-2021,0
May-2021,42.4
Jun-2021,12.4
Jul-2021,44.6
Aug-2021,64.6
Sep-2021,68.6
Oct-2021,333.6
Nov-2021,718.2
Dec-2021,17.8